"Name","House","Gender","Culture","Title","Age","Is Noble?","Dead Relatives?","Is Dead?"
"Viserys II Targaryen","","male","","",NA,"no","yes",1
"Walder Frey","House Frey","male","rivermen","lord of the crossing",97,"yes","yes",0
"Addison Hill","House Swyft","male","","ser",NA,"yes","no",0
"Aemma Arryn","House Arryn","female","","queen",23,"yes","no",1
"Sylva Santagar","House Santagar","female","dornish","greenstone",29,"yes","no",0
"Tommen Baratheon","","male","","",NA,"no","yes",0
"Valarr Targaryen","House Targaryen","male","valyrian","hand of the king",26,"yes","no",1
"Viserys I Targaryen","","male","","",NA,"no","yes",1
"Wilbert","","male","","ser",NA,"yes","no",1
"Wilbert Osgrey","House Osgrey","male","","ser",NA,"yes","no",0
"Will","Night's Watch","male","","",NA,"no","no",1
"Will (orphan)","","female","","",NA,"no","no",0
"Will (squire)","","male","","",NA,"no","no",0
"Will (Standfast)","House Osgrey","female","","",NA,"no","no",0
"Will (Treb)","House Osgrey","male","","",NA,"no","no",0
"Will Humble","House Humble","male","ironborn","",NA,"no","no",0
"Willam","","male","","",NA,"no","no",0
"Willem Wylde","House Wylde","male","","ser",NA,"yes","no",0
"Willifer","","female","","archmaester",NA,"yes","no",0
"Willit","House Swyft","male","","",NA,"no","no",0
"Willis Wode","House Wode","male","","ser",NA,"yes","no",0
"Willis Fell","House Fell","female","","ser",NA,"yes","no",0
"Willow Heddle","Brotherhood Without Banners","female","","",16,"no","no",0
"Willum","","male","","ser",NA,"yes","no",0
"Wolmer","House Webber","male","","",NA,"no","no",0
"Willow Witch-eye","","female","free folk","",NA,"no","no",1
"Woth","","male","","",NA,"no","no",1
"Wulfe","House Greyjoy","male","ironborn","",NA,"no","no",0
"Wyl the Whittler","","female","","",NA,"no","no",0
"Wyl (guard)","House Stark","female","northmen","",NA,"no","no",1
"Wyl Waynwood","House Waynwood","female","","",NA,"no","no",1
"Wun Weg Wun Dar Wun","","male","","",NA,"no","no",0
"Wylla","House Dayne","male","","",NA,"no","no",0
"Wynafryd Manderly","House Manderly","female","","",25,"no","no",0
"Xhondo","","male","summer isles","",NA,"no","no",0
"Ygon Farwynd","House Farwynd of the Lonely Light","male","","",NA,"no","no",0
"Yna","Happy Port","male","","",NA,"no","no",0
"Yohn Farwynd","House Farwynd of the Lonely Light","male","ironborn","",NA,"no","no",0
"Yorkel","House Targaryen","female","","",NA,"no","no",0
"Yorko Terys","","male","braavosi","",NA,"no","no",0
"Yormwell","","female","","maester",NA,"yes","no",0
"Young Henly","Night's Watch","male","","",59,"no","no",1
"Ysilla","","female","","",NA,"no","no",0
"Zarabelo","","female","","archmaester",NA,"yes","no",0
"Zei","","female","","",NA,"no","no",0
"Zekko","","male","dothraki","khal",NA,"no","no",0
"Zharaq zo Loraq","House of Loraq","male","ghiscari","",NA,"no","no",0
"Wenda","Kingswood Brotherhood","female","","",NA,"no","no",0
"Wex Pyke","House Botley","male","ironborn","",19,"no","no",0
"Timett","Burned Men","male","vale mountain clans","red hand",27,"yes","no",0
"Joffrey Baratheon","","male","","",NA,"no","yes",1
"Laenor Velaryon","House Velaryon","male","valyrian","ser",26,"yes","no",1
"Leobald Tallhart","House Tallhart","male","northmen","castellan",NA,"yes","no",1
"Maegor I Targaryen","","male","","",NA,"no","no",1
"Margaery Tyrell","House Tyrell","female","reach","seven kingdoms",22,"yes","yes",0
"Naerys Targaryen","House Targaryen","female","valyrian","princessqueen",100,"yes","yes",1
"Quence","","female","braavosi","",NA,"no","no",0
"Quellon Botley","House Botley","male","ironborn","",NA,"no","no",0
"Quellon Greyjoy","House Greyjoy","male","ironborn","lord of the iron islands",NA,"yes","no",1
"Quentyn Blackwood","House Blackwood","female","","lord",NA,"yes","no",1
"Quenton Greyjoy","House Greyjoy","male","ironborn","",NA,"no","no",0
"Quhuru Mo","","male","summer isles","",NA,"no","no",0
"Quickfinger","House Blackfyre","male","","",NA,"no","no",0
"Quill","","male","braavosi","",NA,"no","no",0
"Quentin Tyrell","House Tyrell","female","","ser",NA,"yes","no",0
"Quort","wildling","male","","",14,"no","no",1
"Qyle","","male","","",NA,"no","no",1
"Rafe","","female","","",NA,"no","no",0
"Racallio Ryndoon","Kingdom of the Three Daughters","male","tyroshi","",NA,"no","no",0
"Ragnor Pyke","House Greyjoy","female","ironborn","",NA,"no","no",0
"Rainbow Knight","","female","","",NA,"no","no",0
"Randa","","female","","",NA,"no","no",0
"Rast","Night's Watch","male","","",NA,"no","no",1
"Rawney","","male","","brother",NA,"yes","no",0
"Raymar Royce","House Royce of the Gates of the Moon","male","","lord",NA,"yes","no",0
"Raymond Nayland","House Nayland","female","","ser",NA,"yes","no",0
"Raymund Tyrell","House Tyrell","female","","",NA,"no","no",0
"Red Oarsman","","female","ironborn","",NA,"no","no",0
"Red Lamb","House Targaryen","male","lhazarene","ser",NA,"yes","no",0
"Redtusk","","male","","ser",NA,"yes","no",0
"Red Rolfe","House Greyjoy","male","","",NA,"no","no",1
"Redwyn","Night's Watch","female","","",NA,"no","no",0
"Reynard Webber","House Webber","female","","lord of coldmoat",NA,"yes","no",0
"Reysen","","male","","",NA,"no","no",0
"Rhaegel Targaryen","House Targaryen","male","valyrian","prince of dragonstone",42,"yes","yes",1
"Rhaena Targaryen (daughter of Daemon)","House Targaryen","female","","lady",100,"yes","no",1
"Rhaena Targaryen (daughter of Aegon III)","House Targaryen","female","valyrian","princesssepta",100,"yes","no",1
"Rhaenys Targaryen","House Targaryen","female","valyrian","queen",35,"yes","yes",1
"Rhaenys Targaryen (daughter of Rhaegar)","House Targaryen","female","","princess",3,"yes","yes",1
"Rhialta Vance","House Vance of Wayfarer's Rest","female","","",NA,"no","no",0
"Rhaenys Targaryen (daughter of Aemon)","House Targaryen","female","valyrian","princess",55,"yes","no",1
"Rhonda Rowan","House Rowan","female","","",NA,"no","no",0
"Richard Farrow","House Farrow","female","","ser",NA,"yes","no",1
"Richard Lonmouth","House Lonmouth","male","","ser",NA,"yes","no",0
"Rigney","","male","","archmaester",NA,"yes","no",0
"Rob","House Osgrey","male","","",NA,"no","no",0
"Rickard Tyrell","House Tyrell","male","","",NA,"no","no",0
"Robb Reyne","House Reyne","male","","ser",NA,"yes","no",0
"Robert Ashford","House Ashford","male","reach","ser",NA,"yes","no",0
"Robert Brax (son of Flement)","House Brax","male","","",15,"no","no",0
"Robert Paege","House Paege","female","","ser",NA,"yes","no",0
"Robb Stark","","male","","",NA,"no","yes",1
"Robin","","male","","",NA,"no","no",0
"Robert Frey (son of Raymund)","House Frey","male","","",22,"no","no",0
"Robin Greyjoy","House Greyjoy","male","ironborn","",NA,"no","no",0
"Robin Hollard","House Hollard","male","","",NA,"no","no",0
"Rodrik Freeborn","","male","ironborn","",NA,"no","no",0
"Roelle","House Tarth","female","","septa",NA,"no","no",0
"Rodrik Stark (son of Beron)","House Stark","male","northmen","",NA,"no","no",0
"Roger of Pennytree","","male","","",NA,"no","no",1
"Roggo","","female","braavosi","",NA,"no","no",0
"Roger Ryswell","House Ryswell","male","northmen","",NA,"no","no",0
"Rolder","House Lannister","male","","",NA,"no","no",0
"Roland Crakehall (Kingsguard)","House Crakehall","male","","ser",NA,"yes","no",0
"Rolfe","","male","","",NA,"no","no",0
"Rolland Darklyn","House Darklyn","male","","ser",NA,"yes","no",0
"Rollam Westerling","House Westerling","male","","",15,"no","no",0
"Romny Weaver","House Weaver","male","ironborn","",NA,"no","no",0
"Ronald Storm","House Connington","male","","",NA,"no","no",0
"Ronnel Stout","House Stout","female","northmen","",NA,"no","no",0
"Ronnel Harclay","House Harclay","female","","",NA,"no","no",0
"Roone","","male","","",19,"no","no",0
"Roone (maester)","","male","","maester",NA,"yes","no",0
"Roryn Drumm","House Drumm","female","ironborn","",NA,"no","no",0
"Roose Ryswell","House Ryswell","male","northmen","",NA,"no","no",0
"Rosamund Lannister","House Lannister of Lannisport","female","","",NA,"no","no",0
"Rosey","","female","","",21,"no","no",0
"Rowan","","male","free folk","",NA,"no","no",1
"Rudge","Night's Watch","female","","",NA,"no","no",0
"Runciter","","male","","grand maester",NA,"yes","no",1
"Rupert Crabb","House Crabb","female","","ser",NA,"yes","no",0
"Rus","Drowned men","female","ironmen","",NA,"no","no",0
"Rusty Flowers","Night's Watch","male","","",NA,"no","no",0
"Ryam","","male","","archmaester",NA,"yes","no",0
"Ryk","","male","free folk","",NA,"no","no",0
"Ryles","Night's Watch","female","","",NA,"no","no",1
"Rymolf","House Greyjoy","female","ironborn","",NA,"no","no",0
"S'vrone","","female","braavosi","",NA,"no","no",0
"Saathos","","female","","",NA,"no","no",0
"Sailor's Wife","Happy Port","female","","",NA,"no","no",0
"Sallor","Stormcrows","male","qartheen","",NA,"no","no",1
"Salloreon","Antler Men","male","","",NA,"no","no",0
"Sam Stoops","House Osgrey","male","","",NA,"no","no",0
"Samwell Spicer","House Spicer","male","","ser",NA,"yes","no",0
"Sargon Botley","House Botley","male","ironborn","",NA,"no","no",0
"Scarb","","female","","",NA,"no","no",0
"Sawwood","Night's Watch","male","","",NA,"no","no",0
"Sedgekins","","female","","",NA,"no","no",0
"Sefton Staunton","House Staunton","male","","septon",NA,"no","no",0
"Serra","","female","lysene","",NA,"no","no",0
"Sharna","","female","","",NA,"no","no",0
"Shella","","female","","",NA,"no","no",0
"Sherrit","","female","","king",NA,"yes","no",0
"Shortear","House Lannister","female","westermen","",NA,"no","no",0
"Shyra","House Stark","female","northmen","",NA,"no","no",0
"Sigfry Stonetree","House Stonetree","male","ironborn","",NA,"no","no",0
"Sigrin","House Greyjoy","male","ironborn","",NA,"no","no",0
"Simon Leygood","House Leygood","female","","ser",NA,"yes","no",0
"Sky Blue Su","","female","","",NA,"no","no",0
"Skinner","House Bolton","male","","",NA,"no","no",0
"Skittrick","House Stark","female","northmen","",NA,"no","no",0
"Skyte","","male","ironborn","",NA,"no","no",0
"Sloey","","female","braavosi","",NA,"no","no",0
"Spare Boot","Night's Watch","male","","",NA,"no","no",0
"Softfoot","Night's Watch","male","","",NA,"no","no",1
"Spotted Pate of Maidenpool","Night's Watch","male","","",NA,"no","no",1
"Squint","House Greyjoy","female","","",NA,"no","no",1
"Squirrel","","female","free folk","",NA,"no","no",1
"Steffarion Sparr","House Sparr","male","ironborn","",NA,"no","no",0
"Stafford Lannister","House Lannister","male","westerman","ser",53,"yes","yes",1
"Steffon Fossoway","House Fossoway of Cider Hall","male","","ser",NA,"yes","no",0
"Steffon Hollard","House Hollard","female","","ser",NA,"yes","no",0
"Stannis Baratheon","","male","","",NA,"no","yes",0
"Steffon Varner","House Varner","male","","lord",NA,"yes","no",0
"Stone Thumbs","","female","free folk","",NA,"no","no",1
"Stonehand","","female","ironborn","",NA,"no","no",0
"Sybassion","","male","qarth","",NA,"no","no",0
"Sylas","House Greyjoy","female","","",NA,"no","no",1
"Symon Stripeback","House Targaryen","male","","",NA,"no","no",0
"Symond Botley","House Botley","male","ironborn","",NA,"no","no",0
"Tagganaro","","male","braavosi","",NA,"no","no",0
"Tal Toraq","House Targaryen","male","summer isles","",NA,"no","no",0
"Talea","","female","braavosi","",NA,"no","no",0
"Talla Tarly","House Tarly","male","","",NA,"no","no",0
"Tansy","Peach","female","","",NA,"no","no",0
"Tansy (orphan)","","female","","",NA,"no","no",0
"Tarber","","male","","",NA,"no","no",0
"Terrance Lynderly","House Lynderly","female","","",NA,"no","no",0
"Terro","","male","braavosi","",NA,"no","no",0
"Theo Frey","House Frey","male","","ser",NA,"yes","no",0
"Theobald","","male","","seneschal",NA,"yes","no",0
"Thistle","","female","free folk","",NA,"no","no",1
"Theon Stark","","male","northmen","",NA,"no","no",0
"Thormor Ironmaker","House Ironmaker","male","ironborn","",NA,"no","no",0
"Tim Stone","Night's Watch","female","","",NA,"no","no",0
"Timon","","female","","ser",NA,"yes","no",0
"Timett (father)","Burned Men","female","vale mountain clans","",NA,"no","no",0
"Timoth","House Martell","male","","",NA,"no","no",0
"Tobbot","House Clegane","female","","",NA,"no","no",0
"Toefinger","","male","free folk","",NA,"no","no",0
"Todric","","male","","",NA,"no","no",1
"Tom Costayne","House Costayne","female","","ser",NA,"yes","no",0
"TomToo","House Stark","female","northmen","",NA,"no","no",0
"Tommard Heddle","House Heddle","male","","ser",NA,"yes","no",1
"Toregg","","male","free folk","",NA,"no","no",0
"Torrek","Stone Crows","female","vale mountain clans","",NA,"no","no",0
"Tothmure","","male","","maester",NA,"yes","no",1
"Torrhen Stark","","male","northmen","",NA,"no","no",0
"Tregar","House Lannister","female","","",NA,"no","no",1
"Tregar Ormollen","","male","lyseni","",NA,"no","no",0
"Tristan Ryger","House Ryger","female","","",NA,"no","no",0
"Tristifer V Mudd","","male","","",NA,"no","no",0
"Tristimun","Sea watch","male","","ser",NA,"yes","no",0
"Tristifer IV Mudd","","male","","",NA,"no","no",1
"Tuffleberry","","female","","",NA,"no","no",0
"Tumberjon","Night's Watch","female","","",NA,"no","no",0
"Tumco Lho","","male","ghiscari","ser",NA,"yes","no",0
"Turnip","House Stark","female","northmen","",NA,"no","no",0
"Turquin","","male","","maester",NA,"yes","no",0
"Tybero Istarion","Second Sons","male","","",NA,"no","no",0
"Tymor","House Greyjoy","male","","",NA,"no","no",0
"Ulf the Ill","House Greyjoy","female","ironborn","",NA,"no","no",1
"Tywin Frey (son of Raymund)","House Frey","male","","",6,"no","no",0
"Uller","House Greyjoy","male","ironborn","",NA,"no","no",0
"Umar","Moon Brothers","female","vale mountain clans","",NA,"no","no",0
"Umfred","House Baelish","female","","",NA,"no","no",0
"Umma","Faceless Men","female","","",NA,"no","no",0
"Urreg","","female","","",NA,"no","no",0
"Urek Ironmaker","House Ironmaker","male","ironborn","",NA,"no","no",0
"Urrathon","","female","qartheen","",NA,"no","no",0
"Urzen","House Greyjoy","male","ironborn","",NA,"no","no",0
"Urron Greyiron","","male","ironborn","",NA,"no","no",0
"Urrigon Greyjoy","House Greyjoy","male","ironborn","",37,"no","no",0
"Uthor Underleaf","","male","","ser",100,"yes","no",1
"Utt","Brave Companions","male","","septon",NA,"no","no",1
"Vaellyn","","male","","archmaester",NA,"yes","no",0
"Varly","House Stark","female","northmen","",NA,"no","no",1
"Veiled Lady","","female","braavosi","",NA,"no","no",0
"Vickon Botley","House Botley","male","ironborn","",NA,"no","no",0
"Violet","","female","","",NA,"no","no",0
"Victor Tyrell","House Tyrell","female","","ser",NA,"yes","no",0
"Walda Frey (daughter of Lothar)","House Frey","female","","",11,"no","no",0
"Walda Frey (daughter of Edwyn)","House Frey","female","","",15,"no","no",0
"Walda Frey (daughter of Rhaegar)","House Frey","female","","",17,"no","no",0
"Walda Frey (daughter of Walton)","House Frey","female","","",25,"no","no",0
"Walda Frey (daughter of Merrett)","House Frey","female","","",22,"no","no",0
"Walda Rivers (daughter of Aemon)","House Frey","female","","",10,"no","no",0
"Walder Frey (son of Jammos)","House Frey","male","","",14,"no","no",0
"Walder Frey (son of Emmon)","House Frey of Riverrun","female","","",20,"no","no",0
"Walder Frey (son of Ryman)","House Frey","male","rivermen","",45,"no","no",0
"Walder Frey (son of Merrett)","House Frey","male","","",9,"no","no",1
"Wallen","Night's Watch","female","","",NA,"no","no",1
"Walton","House Bolton","male","northmen","",NA,"no","no",0
"Walys Flowers","","male","reach","maester",NA,"yes","no",1
"Wat (Barleycorn)","House Osgrey","male","","",NA,"no","no",0
"Blue Bard","House Tyrell","male","","",NA,"no","no",0
"Wat (orphan)","","female","","",NA,"no","no",0
"Wat (sailor)","","female","","",NA,"no","no",0
