loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,policy_code,application_type,acc_now_delinq,chargeoff_within_12_mths,delinq_amnt,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit
10000,10000,10000,36 months,9.67%,321.13,B,machinist,9 years,OWN,45000,Not Verified,0,debt_consolidation,446xx,OH,8.91,0,Apr-98,0,,,9,0,7687,30.30%,14,w,0,0,1,INDIVIDUAL,0,0,0,0,0,135462,10586,14500
22875,22875,22875,36 months,13.98%,781.6,C,Campus Planner,5 years,MORTGAGE,50000,Verified,0,home_improvement,296xx,SC,10.83,0,Nov-98,1,,,10,0,15251,56.10%,41,f,0,0,1,INDIVIDUAL,0,0,0,0,0,193233,125668,14300
9800,9800,9800,36 months,10.99%,320.8,B,sales merchandiser,10+ years,RENT,40000,Not Verified,0,debt_consolidation,605xx,IL,23.79,0,Oct-86,0,,112,21,1,15246,68.90%,36,w,0,0,1,INDIVIDUAL,0,0,0,1,0,35782,20311,18200
15000,15000,15000,36 months,17.57%,539.06,D,sales man,3 years,RENT,60000,Not Verified,1,other,945xx,CA,3.68,0,1-May,0,,,4,0,7478,61.30%,12,f,0,0,1,INDIVIDUAL,0,0,0,0,0,12200,7478,9000
19750,19750,19750,36 months,13.53%,670.51,B,Accountant,10+ years,RENT,45000,Not Verified,0,credit_card,070xx,NJ,18.09,0,Dec-90,1,,,25,0,15891,45.80%,31,f,0,0,1,INDIVIDUAL,0,0,0,0,0,40616,15910,30200
6625,6625,6625,36 months,14.98%,229.6,C,A/R  Specialist,10+ years,RENT,28160.5,Verified,0,debt_consolidation,274xx,NC,18.07,0,Aug-95,0,68,,7,0,4241,81.60%,11,f,0,0,1,INDIVIDUAL,0,0,0,0,0,102914,14069,1500
15000,15000,14950,36 months,16.99%,534.72,D,Revenue Agent,10+ years,RENT,70000,Verified,0,debt_consolidation,030xx,NH,27.64,1,Dec-94,0,15,,10,0,8021,89.10%,22,f,0,0,1,INDIVIDUAL,0,0,0,0,0,43645,19179,8300
24000,24000,24000,36 months,7.62%,747.88,A,Principal Systems Engineer,10+ years,MORTGAGE,160000,Verified,0,credit_card,856xx,AZ,16.97,0,Oct-84,0,58,,9,0,18703,69.50%,30,w,0,0,1,INDIVIDUAL,0,0,0,0,0,289443,102291,26900
11000,11000,11000,36 months,17.57%,395.31,D,Data Analyst,10+ years,RENT,48500,Not Verified,0,debt_consolidation,926xx,CA,11.83,0,2-Sep,1,,,9,0,10395,60.40%,18,f,0,0,1,INDIVIDUAL,0,0,0,0,0,17200,10395,10400
35000,35000,35000,36 months,18.25%,1269.73,D,Manager,10+ years,MORTGAGE,95000,Verified,0,debt_consolidation,080xx,NJ,8.54,2,2-Feb,0,6,,8,0,5127,49.80%,22,f,0,0,1,INDIVIDUAL,0,0,0,0,0,211603,16233,5100
26000,26000,26000,36 months,14.47%,894.57,C,Project Specialist,7 years,MORTGAGE,96000,Source Verified,0,credit_card,113xx,NY,13.06,1,Feb-90,0,12,,12,0,29503,66.20%,17,f,0,0,1,INDIVIDUAL,0,0,0,0,0,302100,52954,34900
7700,7700,7700,36 months,8.90%,244.5,A,Supervisor,10+ years,MORTGAGE,84000,Source Verified,0,debt_consolidation,062xx,CT,18.49,1,Oct-86,0,5,,15,0,6256,15.50%,39,w,0,0,1,INDIVIDUAL,0,0,0,0,0,291872,39080,29100
